art,allowed,
baby formula,allowed,
baby powder,allowed,
baby powder,allowed,
baby wipes,allowed,
baby wipes,allowed,
backpack rain cover,allowed,
ball,allowed,
band aid,allowed,
bandages,allowed,
bandana,allowed,
belt,allowed,
binoculars,allowed,
blanket,allowed,
bobby pin,allowed,
book,allowed,
boots,allowed,
bottle opener,allowed,
bra,allowed,
bread,allowed,
brush,allowed,
cake,allowed,
candy,allowed,
cards,allowed,
cash,allowed,
cell phone,allowed,
cereal,allowed,
chapstick,allowed,
chequebook,allowed,
chewing gum ,allowed,
chips,allowed,
chocolate,allowed,
christmas lights,allowed,
cigar,allowed,
cigarette,allowed,
clothes,allowed,
coffee beans,allowed,
coffee powder,allowed,
comb ,allowed,
compass,allowed,
compression bandages,allowed,
condoms ,allowed,
contact lenses,allowed,
contraceptive pills,allowed,
cooked food,allowed,
cookie,allowed,
cooling gel pack,allowed,
cotton buds,allowed,
cotton handkerchief,allowed,
credit card,allowed,
curling iron,allowed,
dental floss ,allowed,
diary,allowed,
dictionary,allowed,
digital watch,allowed,
disinfecting wipes,allowed,
document,allowed,
dress,allowed,
dress shirt,allowed,
dried fruit,allowed,
driving license,allowed,
dry cell battery,allowed,
dry spices,allowed,
duct tape,allowed,
earphone,allowed,
earplugs,allowed,
electronic toothbrush,allowed,
empty water bottle,allowed,
eye-mask,allowed,
eyeglasses,allowed,
feminine pad,allowed,
fidget spinner,allowed,
film,allowed,
fleece,allowed,
flower,allowed,
frisbee,allowed,
frozen food,allowed,
fruit,allowed,
gazes,allowed,
gloves,allowed,
glow stick,allowed,
goggles,allowed,
golf tee,allowed,
guidebooks,allowed,
gum,allowed,
hackey sack,allowed,
hair clipper,allowed,
hair straightner,allowed,
hand warmer,allowed,
handheld game,allowed,
handkerchief,allowed,
hat,allowed,
hearing aid,allowed,
heirloom,allowed,
helmet,allowed,
identification document,allowed,
inflatable travel pillow,allowed,
ipod,allowed,
jacket,allowed,
jandals,allowed,
jeans,allowed,
jewelry,allowed,
jumper,allowed,
key,allowed,
lava lava,allowed,
life vest,allowed,
lip balm,allowed,
lip pencil,allowed,
lipstick,allowed,
liquid eyeliner,allowed,
luggage protection covers,allowed,
magnets,allowed,
makeup wipes,allowed,
manuscript,allowed,
map,allowed,
masacara,allowed,
medical mask,allowed,
memory card,allowed,
mints,allowed,
mittens,allowed,
mobile phone,allowed,
money belt ,allowed,
mosquito net,allowed,
mp3 player,allowed,
nail file,allowed,
necklace,allowed,
night vision goggles,allowed,
notebook,allowed,
nuts,allowed,
pack of cards,allowed,
pad,allowed,
painting,allowed,
pants,allowed,
paper,allowed,
passport,allowed,
passport photos,allowed,
pen,allowed,
pencil,allowed,
phone,allowed,
phone card,allowed,
phone charger,allowed,
phrase books,allowed,
pillow,allowed,
pizza,allowed,
plant,allowed,
plastic bags,allowed,
poncho,allowed,
pool shoes,allowed,
powder,allowed,
pyjamas,allowed,
raincoat,allowed,
ring,allowed,
rope,allowed,
safety pin,allowed,
salt,allowed,
sandals,allowed,
sanitary napkin,allowed,
sanitary pad,allowed,
sarong,allowed,
scarf,allowed,
selfie stick,allowed,
sewing kit,allowed,
shirt,allowed,
shoe,allowed,
shoes,allowed,
shorts,allowed,
shower shoes,allowed,
sim card,allowed,
ski clothes,allowed,
ski glasses,allowed,
skirt,allowed,
sleep sheet,allowed,
sleep-mask,allowed,
sleeping bag,allowed,
sleeping mat,allowed,
sleepwear,allowed,
slippers,allowed,
sneaker,allowed,
soap bar,allowed,
sock,allowed,
solid candle,allowed,
solid pet food,allowed,
speedo,allowed,
spoon,allowed,
stuffed animals,allowed,
suit,allowed,
suit bag,allowed,
sunglasses,allowed,
sweater,allowed,
swim cap ,allowed,
swimming gear,allowed,
swimsuit,allowed,
talcum,allowed,
tampon,allowed,
thermometer,allowed,
thongs,allowed,
tie,allowed,
tissues,allowed,
toilet paper,allowed,
toothbrush,allowed,
towel,allowed,
toy,allowed,
travellers' cheques ,allowed,
trophy,allowed,
trousers,allowed,
umbrella,allowed,
underwear,allowed,
usb flash drive,allowed,
vegetable,allowed,
visa,allowed,
wallet,allowed,
water purifying tablets,allowed,
wet wipes,allowed,
ziplock bags,allowed,
camera,allowed ,
acid spray,prohibited,"Your item is prohibited to take with you past the airport security checkpoint.
The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned."
aerosol paint,prohibited,"Your item is prohibited to take with you past the airport security checkpoint.
This item is allowed in your hold baggage that is checked-in at the bag-drop counter before security. 
A person carrying this item after the airport security checkpoint is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned. "
animal repellent spray,prohibited,"Your item is prohibited to take with you past the airport security checkpoint.
This item is allowed in your hold baggage that is checked-in at the bag-drop counter before security. 
A person carrying this item after the airport security checkpoint is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned. "
animal stunner,prohibited,"Your item is prohibited to take with you past the airport security checkpoint.
The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned."
arrow,prohibited,"Your item is prohibited to take with you past the airport security checkpoint.
The person carrying this item is considered to be a risk or threat to the security of the airport and the flight. Prohibited items detected at security control points will be discarded and will not be returned."
